Tension,F0,MainGauge,CrossGauge
22.0,1086.560479525862,0.7,0.7
22.0,1086.560479525862,0.7,0.7
27.0,1206.849407327586,0.68,0.68
27.0,1206.354391163793,0.68,0.68
27.0,1190.0188577586207,0.68,0.68
27.0,1189.0288254310344,0.68,0.68
24.0,1145.4674030172414,0.7,0.7
24.0,1144.9723868534481,0.7,0.7
22.0,1104.3810614224137,0.7,0.7
22.0,1104.8760775862067,0.7,0.7
27.0,1205.859375,0.68,0.68
27.0,1206.849407327586,0.68,0.68
25.0,1144.4773706896551,0.68,0.68
25.0,1143.4873383620688,0.68,0.68
20.0,1081.115301724138,0.7,0.7
20.0,1080.6202855603449,0.7,0.7
27.0,1173.1883081896551,0.68,0.68
27.0,1176.1584051724137,0.68,0.68
27.0,1185.0686961206895,0.68,0.68
27.0,1183.0886314655172,0.68,0.68
24.0,1120.221578663793,0.7,0.7
24.0,1119.7265625,0.7,0.7
24.0,1242.4905711206895,0.65,0.65
24.0,1241.9955549568965,0.65,0.65
23.0,1108.8362068965516,0.7,0.7
23.0,1105.866109913793,0.7,0.7
23.0,1139.5,0.7,0.7
23.0,1146.0,0.7,0.7
23.0,1130.5,0.7,0.7
23.0,1128.0,0.7,0.7
23.0,1117.5,0.7,0.7
23.0,1116.0,0.7,0.7
24.0,1239.0,0.65,0.65
24.0,1237.0,0.65,0.65
26.0,1280.0,0.66,0.66
26.0,1280.0,0.66,0.66
