Tension,F0,MainGauge,CrossGauge,FaceSize
24.0,1228.0,0.65,0.65,56.0
24.0,1229.5,0.65,0.65,56.0
26.0,1255.5,0.69,0.69,56.0
26.0,1257.5,0.69,0.69,56.0
23.0,1201.0,0.7,0.7,56.0
23.0,1201.0,0.7,0.7,56.0
27.0,1297.5,0.68,0.68,56.0
27.0,1298.5,0.68,0.68,56.0
22.0,1198.0,0.7,0.7,56.0
22.0,1200.0,0.7,0.7,56.0
22.0,1205.5,0.66,0.66,56.0
22.0,1203.0,0.66,0.66,56.0
23.0,1174.0,0.7,0.7,56.0
23.0,1175.0,0.7,0.7,56.0
23.0,1184.5,0.7,0.7,56.0
23.0,1185.0,0.7,0.7,56.0
20.0,1112.0,0.7,0.7,56.0
20.0,1112.0,0.7,0.7,56.0
20.0,1116.5,0.7,0.7,58.0
20.0,1115.0,0.7,0.7,58.0
20.0,1138.5,0.7,0.7,56.0
20.0,1134.5,0.7,0.7,56.0
24.0,1239.5,0.7,0.7,56.0
24.0,1237.5,0.7,0.7,56.0
22.0,1228.5,0.61,0.61,56.0
22.0,1231.0,0.61,0.61,56.0
22.0,1294.5,0.65,0.65,53.0
22.0,1295.0,0.65,0.65,53.0
24.0,1251.0,0.69,0.69,56.0
24.0,1250.5,0.69,0.69,56.0
26.0,1297.0,0.7,0.7,53.0
26.0,1297.0,0.7,0.7,53.0
20.0,1241.0,0.65,0.65,56.0
20.0,1239.5,0.65,0.65,56.0
26.0,1301.5,0.7,0.7,53.0
26.0,1302.5,0.7,0.7,53.0
22.0,1180.0,0.7,0.7,55.0
22.0,1179.0,0.7,0.7,55.0
22.0,1156.5,0.7,0.7,56.0
22.0,1159.5,0.7,0.7,56.0
