Tension,F0,MainGauge,MainDensity,CrossGauge,CrossDensity,FaceSize,MainPatN,CrossPatN,MainYoung,CrossYoung
61.5,693.0226293103448,1.15,1.4152454674939052,1.15,1.4152454674939052,100.0,18,16,1000,1000
61.5,692.0325969827586,1.15,1.4152454674939052,1.15,1.4152454674939052,100.0,18,16,1000,1000
45.0,620.2552532327586,1.31,1.2241974528366752,1.2,1.4058686639784088,98.0,16,19,350,1000
45.0,619.2652209051724,1.31,1.2241974528366752,1.2,1.4058686639784088,98.0,16,19,350,1000
40.0,561.3483297413793,1.2,1.399845701638282,1.25,1.2386074291183662,100.0,16,19,1000,450
40.0,560.8533135775862,1.2,1.399845701638282,1.25,1.2386074291183662,100.0,16,19,1000,450
43.0,544.5177801724137,1.25,1.399845701638282,1.25,1.399845701638282,98.0,16,19,1000,1000
43.0,546.002828663793,1.25,1.399845701638282,1.25,1.399845701638282,98.0,16,19,1000,1000
52.0,600.9496228448276,1.25,1.3445409592403317,1.25,1.3445409592403317,98.0,16,19,1000,1000
52.0,601.9396551724137,1.25,1.3445409592403317,1.25,1.3445409592403317,98.0,16,19,1000,1000
49.0,583.1290409482758,1.25,1.4178795570170772,1.25,1.4178795570170772,100.0,16,19,1000,1000
49.0,583.624057112069,1.25,1.4178795570170772,1.25,1.4178795570170772,100.0,16,19,1000,1000
42.0,584.1190732758621,1.3,1.160230117687663,1.3,1.160230117687663,100.0,14,18,350,350
42.0,586.0991379310344,1.3,1.160230117687663,1.3,1.160230117687663,100.0,14,18,350,350
48.0,548.4779094827586,1.3,1.3787150099794958,1.3,1.3787150099794958,100.0,16,19,1000,1000
48.0,548.9729256465517,1.3,1.3787150099794958,1.3,1.3787150099794958,100.0,16,19,1000,1000
48.0,546.9928609913793,1.3,1.3787150099794958,1.3,1.3787150099794958,100.0,16,19,1000,1000
48.0,547.9828933189655,1.3,1.3787150099794958,1.3,1.3787150099794958,100.0,16,19,1000,1000
46.0,625.2054148706897,1.15,1.4152454674939052,1.15,1.4152454674939052,100.0,16,19,1000,1000
46.0,626.690463362069,1.15,1.4152454674939052,1.15,1.4152454674939052,100.0,16,19,1000,1000
42.0,609.8599137931034,1.25,1.214161229859451,1.25,1.214161229859451,100.0,16,20,450,450
42.0,610.3549299568965,1.25,1.214161229859451,1.25,1.214161229859451,100.0,16,20,450,450
47.0,629.1655441810344,1.24,1.2421041344320658,1.24,1.2421041344320658,98.0,18,16,450,450
