Code,Correction value,Number
SOHG115,-0.231430706288553,78
GOAKP16-YOPTF120,-1.844718849881275,6
LUARUPR125,0.9402658976331851,86
YOPTST125,-1.1398027492055476,34
GOMS16,0.1499576447522494,178
BABLAST130,0.6190198117929284,54
TFXR3125,-0.897089321776702,150
TFXONE124,1.761073263807206,150
YOPTF120,-1.1125878908321407,24
TFSG125,0.8503090821857114,20
BAXCEL125,-0.5130399356304581,118
YOPTP125,-0.065455591295435,102
BABLAST125,-0.8753340745446555,74
BAVSTEAM125,-0.17129644477701333,8
GOTG16,-1.1077982499756502,10
BAADC130,0.4471293771605451,50
BABLAST130-YOPTP125,1.4058729500932259,2
TFXONE124-LUARUPR125,-1.6850125711175252,8
TFXONE124-BABLAST125,1.6804804603840846,12
GOAKP16,-2.0090041303184076,42
GOAKP17,-1.1111233168329306,8
LUARUP125,1.0345568323785415,46
SOHG110,-1.8281832453399431,6
YOREXIS130-YOPTF120,-1.2218149357768056,8
LU4GS125,-1.677772098342548,28
SOHG120,-0.8548402768711156,4
YOPTP130,1.0690592581460294,10
SOHG125,-0.0492804751002399,46
LU4GS125-GOAKP16,-1.869381607763387,2
BAXCEL130,-0.709754346248193,16
TFSG125-GOAKP16,-1.577640444602963,2
TFXONE124-BABLAST130,-2.576221167026546,2
YOREXIS130,-0.8154841538605476,12
YOREXIS130-YOPTP125,0.5045239196961404,2
YOPTST125-YOREXIS130,-1.6691504546634377,8
BAVSTOUCH125,-0.11221496693126198,12
WSNATURAL125,2.376790474340538,2
TFXONE124-LU4GS125,-1.5959483554738938,2
LUARUP130,0.16200287122606483,2
TFTGV125,-0.16152979806568624,16
LUNATURAL125,3.7758506323982743,4
PFBV125,5.8064459044027785,6
YOREXIS130-YOPTST125,0.17440192866394,2
WSNATURAL130-LUARUPR125,2.728681128154534,2
LUNATURAL130-LUARUPR125,1.124643238645973,2
WSNATURAL130-LUNATURAL130,1.9367996465188924,2
BATEAM130,-1.097181364252819,4
WSNATURAL125-LUNATURAL125,2.7454215374797712,2
BABLAST125-BAVSTOUCH130,-0.5177032191478759,2
LUARUP125-LUARUPR125,-0.597402222577756,2
WSNATURAL130-LUNATURAL125,1.9387206536579242,2
TFTGV130,0.39959776065714436,2
BAVSTOUCH130,0.2327500041400299,2
BATONIC,0.8671542512415726,2
YOPTREV125,0.03488472091871131,2
LUNATURAL120,3.9283046710132794,2
