Code,Name,Material,Gauge,Factor
GOMS16,GOSEN MICRO SUPER 16,N,1.30,1.54
GOAKP17,GOSEN AK PRO 17,N,1.22,1.43
GOAKP16,GOSEN AK PRO 16,N,1.31,1.617
GOTG16,GOSEN TECGUT 16,M,1.30,1.63
GOGT1125,GOSEN G-TOUR1 125,P,1.25,1.73
GOGT3128,GOSEN G-TOUR3 128,P,1.28,0.0
GOGS3123,GOSEN G-SPIN3 123,P,1.23,0.0
GOPL129,GOSEN POLYLON 129,P,1.29,0.0
YOPTP115,YONEX POLY TOUR PRO 115,P,1.15,0,0
YOPTP120,YONEX POLY TOUR PRO 120,P,1.20,0,0
YOPTP125,YONEX POLY TOUR PRO 125,P,1.25,1.70
YOPTP130,YONEX POLY TOUR PRO 130,P,1.30,1.86
YOPTF120,YONEX POLY TOUR FIRE 120,P,1.20,1.60
YOPTF125,YONEX POLY TOUR FIRE 125,P,1.25,1.75
YOPTF130,YONEX POLY TOUR FIRE 130,P,1.30,1.87
YOPTST120,YONEX POLY TOUR STRIKE 120,P,1.20,0.0
YOPTST125,YONEX POLY TOUR STRIKE 125,P,1.25,1.73
YOPTST130,YONEX POLY TOUR STRIKE 130,P,1.30,0.0
YOPTREV120,YONEX POLY TOUR REV 120,P,1.20,0.0
YOPTREV125,YONEX POLY TOUR REV 125,P,1.25,1.75
YOPTREV130,YONEX POLY TOUR REV 130,P,1.30,1.90
YOPTSPN120,YONEX POLY TOUR SPIN 120,P,1.20,0.0
YOPTSPN125,YONEX POLY TOUR SPIN 125,P,1.25,0.0
YOPTA125,YONEX POLY TOUR AIR 125,P,1.25,0.0
YOREXIS130,YONEX REXIS 130,M,1.30,1.65
YOAS850,YONEX AERON SUPER 850,M,1.30,1.63
BAADC130,BabolaT Addixion 130,M,1.30,1.64
BAADX+130,BabolaT Addixion+ 130,M,1.30,0.0
BABLAST120,BabolaT RPM Blast 120,P,1.20,1.58
BABLAST125,BabolaT RPM Blast 125,P,1.25,1.71
BABLAST130,BabolaT RPM Blast 130,P,1.30,1.86
BAHUR120,BabolaT RPM Hurricane 120,P,1.20,0.0
BAHUR125,BabolaT RPM Hurricane 125,P,1.25,1.67
BAHUR130,BabolaT RPM Hurricane 130,P,1.30,1.84
BATEAM130,BabolaT RPM Team 130,P,1.30,1.795
BAXCEL125,BabolaT XCEL 125,M,1.25,1.53
BAXCEL130,BabolaT XCEL 130,M,1.30,1.66
BAVSTEAM125,BabolaT VS TEAM 125,G,1.25,1.68
BAVSTOUCH125,BabolaT TOUCH VS 125,G,1.25,1.65
BAVSTOUCH130,BabolaT TOUCH VS 130,G,1.30,1.78
BATONIC,BabolaT TOUCH TONIC < 135,G,1.32,1.79
BASOFT125,BabolaT RPM Soft 125,N,1.25,1.50
BAROUGH125,BabolaT RPM Rough 125,P,1.25,0.0
TFSG125,Tecnifibre s.gut 125,N,1.25,1.50
TFXR3125,Tecnifibre XR3 125,M,1.25,1.48
TFTGV125,Tecnifibre TGV 125,M,1.25,1.525
TFTGV130,Tecnifibre TGV 130,M,1.30,1.64
TFMF130,Tecnifibre MULTI FEEL 130,M,1.30,1.77
TFXONE118,Tecnifibre X-ONE BIPHASE 118,M,1.18,1.41
TFXONE124,Tecnifibre X-ONE BIPHASE 124,M,1.24,1.51
TFXONE130,Tecnifibre X-ONE BIPHASE 130,M,1.30,1.78
TFBC124,Tecnifibre BLACK CODE 124,P,1.24,1.721
TFBC128,Tecnifibre BLACK CODE 128,P,1.28,1.762
LUARUP115,LUXILON ARU POWER 115,P,1.15,1.41
LUARUP125,LUXILON ARU POWER 125,P,1.25,1.69
LUARUP130,LUXILON ARU POWER 130,P,1.30,1.77
LUARUPR125,LUXILON ARU POWER ROUGHT 125,P,1.25,1.65
LUEMT125,LUXILON ELEMENT 125,P,1.25,1.66
LU4GS125,LUXILON 4G SOFT 125,P,1.25,1.63
LU4GR125,LUXILON 4G ROUGHT 125,P,1.25,1.67
LU4G130,LUXILON 4G 130,P,1.30,0.0
LUNATURAL120,LUXILON NATURAL 120,G,1.20,1.541
LUNATURAL125,LUXILON NATURAL 125,G,1.25,1.69
LUNATURAL130,LUXILON NATURAL 130,G,1.30,1.828
SOHG110,SOLINCO HYPER-G 110,P,1.10,1.34
SOHG115,SOLINCO HYPER-G 115,P,1.15,1.47
SOHG120,SOLINCO HYPER-G 120,P,1.20,1.59
SOHG125,SOLINCO HYPER-G 125,P,1.25,1.73
SOHG130,SOLINCO HYPER-G 130,P,1.30,1.90
SOHGS115,SOLINCO HYPER-G SOFT 115,P,1.15,0.0
SOHGS125,SOLINCO HYPER-G SOFT 125,P,1.25,1.65
SOHGS130,SOLINCO HYPER-G SOFT 130,P,1.30,0.0
SOHGR120,SOLINCO HYPER-G ROUND 120,P,1.20,0.0
PFBV125,Polyfibre BLACK VENOM 125,P,1.25,1.658
PSENERGY125,POLYSTAR ENERGY 125,P,1.25,0.0
MIMIG109,Meath MIG 109,P,1.09,0.0
HDSONICPRO125,HEAD SONIC PRO 125,P,1.25,1.80
HDHAWKT125,HEAD HAWK TOUCH 125,P,1.25,1.82
HDLYNX125,HEAD LYNX 125,P,1.25,1.64
HDVMLT130,HEAD VELOCITY MLT 130,M,1.30,1.58
WSNXT124,Wilson NXT 124,M,1.24,1.53
WSNXT130,Wilson NXT 130,M,1.30,0.0
WSREPEL125,Wilson REPEL 125,M,1.25,1.46
WSREPEL130,Wilson REPEL 130,M,1.30,1.58
WSNATURAL125,Wilson NATURAL 125,G,1.25,1.62
WSNATURAL130,Wilson NATURAL 130,G,1.30,1.825
